Intent,Text
Refusal,4. Özel bir durumu paylaşmak istemiyorum.
Disease_Info,Diyabet hakkında bilgi almak istiyorum.
Treatment_Info,9. Yüksek tansiyonla savaşmak için ne gibi stratejiler izlemeliyim?
Disease_Info,7. Diyabetin anlamını açıklar mısınız?
Goodbye,"- Hoşça kal, sağlıcakla kal"
Refusal,7. Bu mevzuyu bir sonraki sefere bırakalım.
Refusal,9. Özel bir meseleyi paylaşmak istemiyorum.
Symptoms,Durmadan öksürüyorum.
Disease_Info,Diyabet hakkında daha fazla şey öğrenmek istiyorum.
Disease_Info,4. Sedef rahatsızlığı hakkında ne biliyorsunuz?
Goodbye,"- Güle güle, sağlıklı günler dilerim"
Greeting,"Merhaba, nasılsınız?"
Refusal,"Elbette, merak ettiğin başka bir konu varsa sorabilirsin."
Refusal,"Elbette, farklı bir konuda bir soru sormak istersen hazırım."
Symptoms,- Vücut sıcaklığım yüksek ve yutkunmakta zorlanıyorum.
Refusal,"Kesinlikle, başka bir konuda sormak istediğin bir soru varsa dinlemeye hazırım."
Greeting,"Merhaba, nasılsın?"
Symptoms,3. Dizim ağrıyor ve şişmiş durumda.
Disease_Info,Migren rahatsızlığının semptomları hakkında bilgi verir misin?
Goodbye,10. Kendinize iyi davranın!
Greeting,- Hey
Treatment_Info,Yüksek tansiyonu kontrol altına almanın yolları nelerdir?
Goodbye,"6. Hoşçakalın, sağlıcakla kalın!"
Goodbye,"8. Hoşçakal, mutlu kal!"
Appointment_Info,Bana en yakındaki acil servis olan hastaneyi söyleyebilir misin?
Appointment_Info,5. Göz muayenesi randevusu nasıl alınır?
Symptoms,"1. Ağrıyan başım beni mahvediyor, ne yapacağımı şaşırdım."
Greeting,"5. Merhabalar, selam"
Refusal,"Tabii, başka bir şey merak ediyorsan sormaktan çekinme."
Treatment_Info,Gribe iyi gelen ilaçlar hakkında bilgi verir misiniz?
Symptoms,Öksürük bir türlü geçmiyor.
Treatment_Info,Hipertansiyonu tedavi etmek için neler yapılabilir?
Refusal,*   Bu konuyu değiştirelim.
Greeting,4. Selam sağlık profesyoneli
Greeting,10. Günaydın dostum
Refusal,Başka bir şey sormak istemiyorum.
Goodbye,Umarım tekrar konuşuruz.
Greeting,İyi akşamlar
Disease_Info,Alzheimer hastalığı hakkında bilmem gerekenleri bana açıklar mısınız?
Disease_Info,2. Yüksek tansiyon ile ilgili ne söyleyebilirsiniz?
Treatment_Info,- Migren ağrılarını hafifletmek için neler yapılabilir?
Refusal,Bu soruyu yanıtsız bırakmayı tercih ederim.
Greeting,"- Selam, keyfiniz nasıl?"
Symptoms,"Başım zonkluyor, bu konuda ne yapabilirim?"
Symptoms,Aralıksız öksürüyorum.
Goodbye,Hoşça kal.
Refusal,*   Bu konuyu atlayalım.
Disease_Info,Alzheimer hastalığı hakkında bana bazı detaylar verir misiniz?
Goodbye,Sağlıcakla kal
Symptoms,Öksürük yakamı bırakmıyor.
Appointment_Info,8. Doktor muayenesi için MHRS üzerinden randevu talep etme
Greeting,Hey!
Greeting,Naber?
Symptoms,9. Boğaz ağrım var ve ateşim yükseldi
Symptoms,5. Ağrılarım iki gün önce başladı ve hala devam ediyor.
Treatment_Info,9. Astım tedavisinde başarı oranı en yüksek olan yöntem hangisidir?
Appointment_Info,4. Göz doktoruna görünmek için nasıl randevu ayarlayabilirim?
Refusal,2. Bu cümleyi kurmak istemiyorum.
Disease_Info,9. Diyabetin tanımı nedir?
Treatment_Info,6. Grip tedavisinde kullanılan ilaçlar hakkında bilgi verebilir misiniz?
Appointment_Info,6. Acile mi gitmeliyim?
Refusal,5. Özel bir meseleyi dile getirmek istemiyorum.
Greeting,Selam!
Treatment_Info,1. Astım tedavisinde en çok önerilen yöntem hangisidir?
Disease_Info,Hipertansiyonun ne anlama geldiğini bana açıklar mısın?
Symptoms,9. Dizim ağrıyor ve şişmiş durumda.
Refusal,9. Bu meseleyi şimdilik rafa kaldıralım.
Refusal,*   Bu bilgiyi paylaşmak istemiyorum.
Disease_Info,- Alzheimer ile ilgili bilgi verir misiniz?
Symptoms,Karnımda iki gündür süren bir sancı hissediyorum.
Treatment_Info,Grip için hangi ilaçları önerirsiniz?
Disease_Info,5. Sedef hastalığı hakkında daha fazla bilgi istiyorum.
Symptoms,Baş ağrısından kurtulmak için ne yapmalıyım?
Disease_Info,"7. Sedef hastalığı nasıl teşhis edilir, tedavisi var mıdır?"
Refusal,* Bunu tartışmak istemiyorum.
Appointment_Info,3. Acil durum için hastaneye gitmeli miyim?
Refusal,"6. Özel bir konu var, detay vermek istemiyorum."
Treatment_Info,7. Tansiyon kontrolü için etkili yöntemler nelerdir?
Disease_Info,2. Sedef hastalığı hakkında bilgi verebilir misiniz?
Goodbye,9. Sağlıkla kalın!
Appointment_Info,Acil durum için yakındaki hastanelerin adreslerini öğrenmek istiyorum.
Disease_Info,Lütfen hipertansiyon hastalığı hakkında bana bilgi verin.
Treatment_Info,Diyabet için güncel tedavi yaklaşımları hakkında bilgi alabilir miyim?
Greeting,- İyi günler
Greeting,"- Selam, gününüz nasıl geçiyor?"
Disease_Info,- Migrenin belirtileriyle ilgili ne söyleyebilirsiniz?
Goodbye,"- Hoşça kalın, sağlıklı kalın"
Treatment_Info,Gribe karşı hangi ilaçlar etkilidir?
Disease_Info,Diyabet hakkında genel bir bilgi alabilir miyim?
Goodbye,"- Hoşça kalın, sağlıklı kalın"
Goodbye,7. Her şey gönlünüzce olsun!
Treatment_Info,Migren tedavisi hakkında daha fazla bilgiye ihtiyacım var.
Greeting,"6. Günaydın, doktor"
Treatment_Info,Migren tedavisi süreci nasıl ilerler?
Greeting,"- İyi günler, nasıl hissediyorsunuz?"
Symptoms,2. Karnımda ağrı hissediyorum ve bu durum iki gündür devam ediyor.
Greeting,4. Nasılsın?
Refusal,6. Bu konuyu kapatmamızın daha iyi olacağını düşünüyorum.
Refusal,*   Bu benim özelim ve kimseyle paylaşmak zorunda değilim.
Symptoms,Dizimde rahatsız edici bir ağrı ve şişlik hissediyorum.
Appointment_Info,Doktor randevusu için bir talepte bulunmak istiyorum.
Symptoms,10. Öksürmekten dolayı enerjim sürekli düşüyor.
Symptoms,4. Öksürük sorunum bir türlü geçmiyor.
Appointment_Info,7. Gecikmeden hastaneye gitmeli miyim?
Disease_Info,- Migren belirtilerinden bahsedebilir misiniz?
Appointment_Info,4. Acil servise gitmeli miyim acaba?
Treatment_Info,Grip olduğumda hangi ilaçları almalıyım?
Greeting,Hey!
Symptoms,6. Vücut ısım yüksek ve boğazım acıyor
Treatment_Info,- Diyabet tedavisinde modern yöntemlerin etkisi nedir?
Symptoms,Diz bölgemde ağrı ve şişkinlik mevcut.
Treatment_Info,- Diyabet tedavisinde son zamanlarda kullanılan farklı yöntemler var mı?
Treatment_Info,Migren tedavisi hakkında bilgi alabilir miyim?
Refusal,* Bu konu benim için hassas.
Goodbye,Görüşmek üzere
Treatment_Info,Astım tedavisi için önerileriniz nelerdir?
Disease_Info,Alzheimer hastalığı hakkında bana bazı önemli noktaları anlatır mısınız?
Treatment_Info,- Migren tedavisinde alternatif çözümler neler olabilir?
Refusal,*   Bu konu hakkında konuşmak beni rahatsız ediyor.
Symptoms,10. Ateşim yükseldi ve boğazımda rahatsızlık var
Refusal,"Evet, farklı bir soru sormak istediğinde buradayım."
Appointment_Info,1. Tedavi olabileceğim en yakın hastane hangisi?
Goodbye,Kendine iyi bak.
Goodbye,Allaha ısmarladık
Symptoms,9. İki gündür karnımda devamlı bir ağrı hissediyorum.
Disease_Info,Sedef hastalığının ne olduğunu öğrenmek istiyorum.
Greeting,Selamlar
Disease_Info,Hipertansiyon hakkında bana bilgi sağlayabilir misin?
Treatment_Info,Migren ataklarını durdurmak için hangi ilaçları kullanabilirim?
Symptoms,- Ateşlendim ve boğazım çok kötü durumda.
Symptoms,8. Öksürük nedeniyle rahat uyuyamıyorum.
Treatment_Info,4. Tansiyon kontrolü için önerileriniz neler?
Goodbye,- Sağlıklı günler dilerim
Disease_Info,Migrenin tipik belirtileri nelerdir?
Treatment_Info,- Diyabet tedavisinde doğal yöntemlerin etkisi nedir?
Greeting,İyi günler
Refusal,4. Bu ifadeyi kullanmak istemiyorum.
Appointment_Info,Doktor randevusu nasıl alabilirim
Appointment_Info,"Doktor randevusu ayarlamak istiyorum, yardımcı olur musunuz?"
Appointment_Info,Bir doktor randevusu ayarlamam gerekiyor.
Treatment_Info,Yüksek tansiyon nasıl kontrol edilir
Treatment_Info,- Migren tedavisinde hangi tür ilaçlar kullanılır?
Goodbye,Tekrar görüşmek dileğiyle
Appointment_Info,"Yakın çevrede hangi hastaneler var, öğrenebilir miyim?"
Refusal,"*   Bu benim için çok kişisel, bu konuda konuşmayalım olur mu?"
Treatment_Info,Migren ağrısını gidermek için uygulanan tedavi yöntemleri nelerdir?
Disease_Info,2. Diyabetin tanımını yapar mısınız?
Disease_Info,- Alzheimer hastalığıyla alakalı bilgi verir misiniz?
Greeting,Selamlar!
Appointment_Info,1. Acilen hastaneye gitmeli miyim?
Refusal,*   Bu konu hakkında konuşmak istemediğimi lütfen anlayın.
Appointment_Info,7. Online randevu oluşturmak için MHRS'i kullanma
Disease_Info,Alzheimer hastalığı hakkında bilgi verir misiniz
Disease_Info,Migren ağrısının belirtileri hakkında bilgiye ihtiyacım var.
Goodbye,Kendine iyi bak
Refusal,5. Bu tartışmayı sonlandıralım.
Symptoms,"Başım ağrıyor, ne yapmamı tavsiye edersiniz?"
Appointment_Info,9. Acil servise gitmem gerektiğini düşünüyor musunuz?
Symptoms,Diz eklemimde ağrı var ve şişmiş durumda.
Symptoms,Dizimde hem ağrı var hem de gözle görülür bir şişlik var.
Refusal,Bu bilgi benim için özeldir ve paylaşmak istemiyorum.
Refusal,*   Başka bir şey konuşalım.
Appointment_Info,6. En yakın sağlık merkezi hangi yönde bulunuyor?
Greeting,İyi akşamlar!
Appointment_Info,8. Acil servise doğru yola çıkmalı mıyım?
Refusal,Bu soruyu cevaplamak istemiyorum.
Disease_Info,"Sedef hastalığı nedir, açıklar mısın?"
Disease_Info,"Diyabet hastalığı nedir, anlatır mısınız?"
Goodbye,- Hoşça kalın
Disease_Info,- Migrenin belirtileriyle ilgili bilgi almak istiyorum.
Disease_Info,Yüksek tansiyonla ilgili bana bilgi verebilir misin?
Greeting,Merhaba!
Greeting,"- Günaydın, nasıl gidiyor?"
Treatment_Info,- Diyabet hastalığı için yeni keşfedilen tedavi yöntemleri var mı?
Refusal,Bu konuda bilgi vermek istemiyorum
Disease_Info,10. Sedef hastalığı hakkında ayrıntılı bir açıklama yapabilir misiniz?
Refusal,Başka bir şey sormayacağım.
Disease_Info,Diyabet ile ilgili temel bilgiler nelerdir?
Refusal,* Bu konuda konuşmayı tercih etmiyorum.
Goodbye,- Hoşça kalın
Greeting,İyi akşamlar!
Treatment_Info,- Migren belirtileri için hangi tedaviler önerilir?
Treatment_Info,Diyabet tedavisindeki son gelişmeler nelerdir?
Refusal,7. Bu sözleri söylemek istemiyorum.
Treatment_Info,Astımımı nasıl tedavi edebilirim?
Goodbye,"- Görüşmek üzere, kendine iyi bak"
Refusal,*   Bu konuyu konuşmaya hazır değilim.
Treatment_Info,1. Grip tedavisinde tercih edilen ilaçlar nelerdir?
Appointment_Info,7. Göz kontrolü için randevu nasıl oluşturulur?
Treatment_Info,7. Grip için önerilen ilaç türleri nelerdir?
Refusal,"*   Bu benim sınırım, lütfen zorlamayın."
Greeting,- Canım selam
Refusal,"Evet, başka bir soru sormak için buradayım."
Greeting,Nasılsın?
Appointment_Info,10. Göz doktoruna randevu nasıl alınır?
Greeting,Selam millet
Symptoms,Öksürük nöbetleri beni çok yoruyor.
Appointment_Info,1. Göz muayenesi için randevu nasıl alabilirim?
Treatment_Info,Yüksek tansiyon sorununa hangi çözümler bulunabilir?
Goodbye,Görüşürüz o zaman
Disease_Info,4. Diyabetin ne olduğunu açıklar mısınız?
Greeting,- Hoş geldin
Greeting,Selamlar!
Greeting,- Merhabalar
Goodbye,Sonra görüşürüz.
Appointment_Info,7. En yakın hastanenin konumu nedir?
Refusal,Bu soruyu geçebilir miyiz?
Greeting,Selam
Symptoms,Günlerdir öksürüyorum.
Treatment_Info,10. Astımın etkili bir şekilde tedavi edilmesini sağlayan yöntemler nelerdir?
Greeting,9. Tıp dünyasından selamlar
Symptoms,Dizimde bir ağrı ve beraberinde şişlik hissediyorum.
Greeting,İyi günler
Goodbye,- Güle güle
Refusal,Başka bir soruyla devam etmeyeceğim.
Treatment_Info,2. Yüksek tansiyonla başa çıkmanın yolları nelerdir?
Appointment_Info,Doktor randevusu almak için ne yapmalıyım?
Appointment_Info,5. Sağlık kontrolü için MHRS üzerinden randevu planlama
Treatment_Info,Diyabetle başa çıkmak için hangi yeni tedavi seçenekleri mevcut?
Refusal,* Bu konuya girmek istemiyorum.
Refusal,Bu soruyu cevaplamak zorunda değilim.
Appointment_Info,5. Hemen hastaneye mi gitmeliyim?
Greeting,İyi günler!
Disease_Info,5. Diyabet konusunda detaylı bilgi paylaşabilir misiniz?
